Partido,CASADO,DIVORCIADO,NÃO INFORMADO,SEPARADO JUDICIALMENTE,SOLTEIRO,VIÚVO,Total
AGIR,1838,231,18,79,1917,191,4274
AVANTE,2147,274,13,76,2703,206,5419
CIDADANIA,1502,264,11,81,2310,107,4275
DC,841,155,5,33,1504,89,2627
DEMOCRATA,589,104,0,30,1353,45,2121
MDB,19382,2195,121,927,26712,2121,51458
MISSÃO,56,11,0,1,648,3,719
MOBILIZA,1840,250,18,75,1999,188,4370
NOVO,642,125,0,37,1350,25,2179
PCB,28,11,0,4,76,1,120
PCDOB,2022,307,10,94,3904,164,6501
PCO,29,8,0,2,209,2,250
PDT,23469,2817,186,1079,24671,2497,54719
PL,4517,880,15,203,6471,315,12401
PODE,3206,471,22,109,6575,261,10644
PP,2226,374,3,119,3029,207,5958
PRD,5609,741,44,299,6021,571,13285
PRTB,739,88,4,34,1219,49,2133
PSB,2272,378,11,107,3546,174,6488
PSC,0,0,0,0,1,0,1
PSD,464,76,1,18,1033,20,1612
PSDB,13912,1768,117,559,22261,1148,39765
PSOL,1423,323,6,82,5948,85,7867
PSTU,74,21,1,3,264,4,367
PT,13545,2242,70,709,31051,1143,48760
PV,494,155,1,36,906,27,1619
REDE,80,25,0,12,231,4,352
REPUBLICANOS,2475,256,4,34,2866,92,5727
SOLIDARIEDADE,518,114,0,11,1061,16,1720
UNIÃO,1710,325,7,74,2301,129,4546
UP,34,18,0,1,986,0,1039
