Partido,Cisgênero,NÃO INFORMADO,Prefere não informar,Transgênero,Total
AGIR,331,3905,38,0,4274
AVANTE,521,4855,43,0,5419
CIDADANIA,420,3814,41,0,4275
DC,286,2300,41,0,2627
DEMOCRATA,204,1896,20,1,2121
MDB,4284,46792,378,4,51458
MISSÃO,157,553,9,0,719
MOBILIZA,395,3937,37,1,4370
NOVO,213,1944,22,0,2179
PCB,21,98,0,1,120
PCDOB,669,5760,70,2,6501
PCO,30,219,1,0,250
PDT,4764,49548,405,2,54719
PL,1403,10840,154,4,12401
PODE,985,9538,117,4,10644
PP,691,5209,57,1,5958
PRD,1276,11891,116,2,13285
PRTB,224,1879,30,0,2133
PSB,673,5736,75,4,6488
PSC,0,1,0,0,1
PSD,245,1355,11,1,1612
PSDB,3312,36115,331,7,39765
PSOL,866,6921,65,15,7867
PSTU,41,322,4,0,367
PT,4448,43842,444,26,48760
PV,258,1341,19,1,1619
REDE,47,300,4,1,352
REPUBLICANOS,740,4848,136,3,5727
SOLIDARIEDADE,178,1522,19,1,1720
UNIÃO,516,3973,57,0,4546
UP,136,874,16,13,1039
