Partido,NÃO,NÃO INFORMADO,SIM,Total
AGIR,369,3905,0,4274
AVANTE,564,4855,0,5419
CIDADANIA,460,3814,1,4275
DC,327,2300,0,2627
DEMOCRATA,224,1896,1,2121
MDB,4665,46792,1,51458
MISSÃO,166,553,0,719
MOBILIZA,433,3937,0,4370
NOVO,235,1944,0,2179
PCB,22,98,0,120
PCDOB,741,5760,0,6501
PCO,31,219,0,250
PDT,5171,49548,0,54719
PL,1560,10840,1,12401
PODE,1105,9538,1,10644
PP,749,5209,0,5958
PRD,1394,11891,0,13285
PRTB,254,1879,0,2133
PSB,751,5736,1,6488
PSC,0,1,0,1
PSD,257,1355,0,1612
PSDB,3646,36115,4,39765
PSOL,945,6921,1,7867
PSTU,45,322,0,367
PT,4914,43842,4,48760
PV,278,1341,0,1619
REDE,52,300,0,352
REPUBLICANOS,877,4848,2,5727
SOLIDARIEDADE,197,1522,1,1720
UNIÃO,573,3973,0,4546
UP,164,874,1,1039
