Partido,FEMININO,MASCULINO,NÃO INFORMADO,Total,% Feminino
AGIR,90800,104095,52,194947,46.58
AVANTE,111579,132302,92,243973,45.73
CIDADANIA,185856,228612,263,414731,44.81
DC,84528,98363,56,182947,46.2
DEMOCRATA,29825,25707,8,55540,53.7
MDB,966636,1052384,1260,2020280,47.85
MISSÃO,1803,20552,0,22355,8.07
MOBILIZA,97444,110168,104,207716,46.91
NOVO,21998,57670,9,79677,27.61
PCB,5557,6230,5,11792,47.13
PCDOB,181611,202303,157,384071,47.29
PCO,2554,4545,0,7099,35.98
PDT,504543,571033,642,1076218,46.88
PL,411136,536048,319,947503,43.39
PODE,366779,431270,164,798213,45.95
PP,609979,678657,504,1289140,47.32
PRD,610488,673240,776,1284504,47.53
PRTB,65261,77948,69,143278,45.55
PSB,291686,348491,251,640428,45.55
PSC,111,316,16,443,25.06
PSD,202693,262791,23,465507,43.54
PSDB,598620,665003,489,1264112,47.35
PSOL,152040,139357,23,291420,52.17
PSTU,6842,7802,3,14647,46.71
PT,795252,871483,2093,1668828,47.65
PV,151326,189681,77,341084,44.37
REDE,25757,30150,2,55909,46.07
REPUBLICANOS,284536,281043,75,565654,50.3
SOLIDARIEDADE,173618,201265,30,374913,46.31
UNIÃO,489197,579068,821,1069086,45.76
UP,5426,7999,1,13426,40.41
