Partido,Idosos (>70),Jovens/Adultos (<45),Maduros (45-69),Outros/Não Informado,Total,% Jovens/Adultos (<45),% Maduros (45-69),% Idosos (>70)
AGIR,22051,51543,111056,10297,194947,26.44,56.97,11.31
AVANTE,19981,79171,137209,7612,243973,32.45,56.24,8.19
CIDADANIA,49516,85527,259458,20230,414731,20.62,62.56,11.94
DC,16212,54040,106876,5819,182947,29.54,58.42,8.86
DEMOCRATA,2966,24502,27469,603,55540,44.12,49.46,5.34
MDB,358448,360164,1109116,192552,2020280,17.83,54.9,17.74
MISSÃO,82,19999,2232,42,22355,89.46,9.98,0.37
MOBILIZA,24607,44023,127864,11222,207716,21.19,61.56,11.85
NOVO,3971,38790,36189,727,79677,48.68,45.42,4.98
PCB,1361,2205,7467,759,11792,18.7,63.32,11.54
PCDOB,35353,116365,219216,13137,384071,30.3,57.08,9.2
PCO,497,2960,3513,129,7099,41.7,49.49,7.0
PDT,162120,217234,617668,79196,1076218,20.18,57.39,15.06
PL,105950,244998,550241,46314,947503,25.86,58.07,11.18
PODE,71642,249824,448912,27835,798213,31.3,56.24,8.98
PP,214385,242045,709391,123319,1289140,18.78,55.03,16.63
PRD,182018,245303,765054,92129,1284504,19.1,59.56,14.17
PRTB,12197,44248,82422,4411,143278,30.88,57.53,8.51
PSB,65008,182956,367283,25181,640428,28.57,57.35,10.15
PSC,73,14,144,212,443,3.16,32.51,16.48
PSD,29990,189267,238560,7690,465507,40.66,51.25,6.44
PSDB,166139,271472,752215,74286,1264112,21.48,59.51,13.14
PSOL,12835,153663,121876,3046,291420,52.73,41.82,4.4
PSTU,1400,3123,9560,564,14647,21.32,65.27,9.56
PT,184820,451862,962982,69164,1668828,27.08,57.7,11.07
PV,30903,101769,197499,10913,341084,29.84,57.9,9.06
REDE,2464,27434,25565,446,55909,49.07,45.73,4.41
REPUBLICANOS,35631,235472,283941,10610,565654,41.63,50.2,6.3
SOLIDARIEDADE,20053,171829,177928,5103,374913,45.83,47.46,5.35
UNIÃO,151503,215740,619784,82059,1069086,20.18,57.97,14.17
UP,92,12090,1229,15,13426,90.05,9.15,0.69
