Partido,FEMININO,MASCULINO,NÃO INFORMADO,Total,% Feminino
AGIR,7390,7614,18,15022,49.19
AVANTE,11015,11861,38,22914,48.07
CIDADANIA,9469,11058,16,20543,46.09
DC,7081,7853,12,14946,47.38
DEMOCRATA,3582,3563,4,7149,50.1
MDB,63147,51915,177,115239,54.8
MISSÃO,98,1473,0,1571,6.24
MOBILIZA,9374,9310,30,18714,50.09
NOVO,1463,4440,2,5905,24.78
PCB,568,529,1,1098,51.73
PCDOB,13045,13638,41,26724,48.81
PCO,214,466,0,680,31.47
PDT,74102,70373,322,144797,51.18
PL,27962,35121,73,63156,44.27
PODE,25709,26835,62,52606,48.87
PP,25202,25842,86,51130,49.29
PRD,29551,31054,151,60756,48.64
PRTB,4181,5639,9,9829,42.54
PSB,19281,18746,47,38074,50.64
PSC,23,42,1,66,34.85
PSD,4339,5811,6,10156,42.72
PSDB,40528,36439,124,77091,52.57
PSOL,12031,12400,11,24442,49.22
PSTU,778,700,0,1478,52.64
PT,57176,55421,123,112720,50.72
PV,8910,10630,20,19560,45.55
REDE,1523,1839,0,3362,45.3
REPUBLICANOS,12269,12399,6,24674,49.72
SOLIDARIEDADE,8440,10145,6,18591,45.4
UNIÃO,17823,20049,62,37934,46.98
UP,731,1177,0,1908,38.31
