Partido,Idosos (>70),Jovens/Adultos (<45),Maduros (45-69),Outros/Não Informado,Total,% Jovens/Adultos (<45),% Maduros (45-69),% Idosos (>70)
AGIR,2392,2362,8865,1403,15022,15.72,59.01,15.92
AVANTE,3235,3113,15061,1505,22914,13.59,65.73,14.12
CIDADANIA,2774,3499,13094,1176,20543,17.03,63.74,13.5
DC,1564,3448,9379,555,14946,23.07,62.75,10.46
DEMOCRATA,477,2617,3964,91,7149,36.61,55.45,6.67
MDB,21721,17133,62950,13435,115239,14.87,54.63,18.85
MISSÃO,5,1413,151,2,1571,89.94,9.61,0.32
MOBILIZA,3212,1684,12071,1747,18714,9.0,64.5,17.16
NOVO,427,2358,3008,112,5905,39.93,50.94,7.23
PCB,188,90,729,91,1098,8.2,66.39,17.12
PCDOB,3100,6698,15752,1174,26724,25.06,58.94,11.6
PCO,48,297,325,10,680,43.68,47.79,7.06
PDT,30147,14391,82868,17391,144797,9.94,57.23,20.82
PL,8559,11549,39239,3809,63156,18.29,62.13,13.55
PODE,6094,12670,31310,2532,52606,24.08,59.52,11.58
PP,9278,6749,30025,5078,51130,13.2,58.72,18.15
PRD,10538,8095,35847,6276,60756,13.32,59.0,17.34
PRTB,1083,2195,6177,374,9829,22.33,62.84,11.02
PSB,5075,8047,22934,2018,38074,21.14,60.24,13.33
PSC,12,2,21,31,66,3.03,31.82,18.18
PSD,771,3647,5575,163,10156,35.91,54.89,7.59
PSDB,11263,12994,47248,5586,77091,16.86,61.29,14.61
PSOL,1614,11593,10802,433,24442,47.43,44.19,6.6
PSTU,179,317,922,60,1478,21.45,62.38,12.11
PT,14341,27427,65908,5044,112720,24.33,58.47,12.72
PV,2455,3352,12791,962,19560,17.14,65.39,12.55
REDE,188,1425,1699,50,3362,42.39,50.54,5.59
REPUBLICANOS,1679,9471,13084,440,24674,38.38,53.03,6.8
SOLIDARIEDADE,1193,7331,9818,249,18591,39.43,52.81,6.42
UNIÃO,6055,5990,22731,3158,37934,15.79,59.92,15.96
UP,19,1749,140,0,1908,91.67,7.34,1.0
