Partido,Quantitativo,Município
PDT,54719,RIO DE JANEIRO
MDB,51458,RIO DE JANEIRO
PT,48760,RIO DE JANEIRO
PSDB,39765,RIO DE JANEIRO
PRD,13285,RIO DE JANEIRO
PDT,8499,SÃO GONÇALO
PT,8053,SÃO GONÇALO
MDB,5443,SÃO GONÇALO
PL,4114,SÃO GONÇALO
PSDB,3729,SÃO GONÇALO
PDT,9782,NOVA IGUAÇU
PT,6927,NOVA IGUAÇU
MDB,3725,NOVA IGUAÇU
PL,2741,NOVA IGUAÇU
PP,2613,NOVA IGUAÇU
PDT,11068,DUQUE DE CAXIAS
PODE,4898,DUQUE DE CAXIAS
PSB,3752,DUQUE DE CAXIAS
PSDB,3566,DUQUE DE CAXIAS
PT,2265,DUQUE DE CAXIAS
PSB,5359,CAMPOS DOS GOYTACAZES
MDB,2975,CAMPOS DOS GOYTACAZES
PL,2185,CAMPOS DOS GOYTACAZES
PDT,2084,CAMPOS DOS GOYTACAZES
PT,1706,CAMPOS DOS GOYTACAZES
