Município,Quantitativo
RIO DE JANEIRO,303316
SÃO GONÇALO,51469
NOVA IGUAÇU,41416
DUQUE DE CAXIAS,41080
CAMPOS DOS GOYTACAZES,28461
NITERÓI,27818
SÃO JOÃO DE MERITI,23933
BELFORD ROXO,22730
VOLTA REDONDA,22664
MARICÁ,19431
PETRÓPOLIS,18768
MACAÉ,16485
CABO FRIO,15860
NOVA FRIBURGO,14383
MAGÉ,13503
BARRA MANSA,13136
ARARUAMA,13132
ANGRA DOS REIS,12748
QUEIMADOS,12305
ITAGUAÍ,11529
NILÓPOLIS,10396
ITABORAÍ,10371
MESQUITA,10203
RESENDE,10184
TERESÓPOLIS,9236
RIO DAS OSTRAS,8585
SAQUAREMA,8552
SEROPÉDICA,7857
BARRA DO PIRAÍ,7545
TRÊS RIOS,6918
ITAPERUNA,6246
SÃO JOÃO DA BARRA,6228
SÃO PEDRO DA ALDEIA,6181
JAPERI,5791
ITATIAIA,5519
PARACAMBI,5331
VALENÇA,5298
MANGARATIBA,5283
SÃO FRANCISCO DE ITABAPOANA,5195
CACHOEIRAS DE MACACU,5110
ARRAIAL DO CABO,5108
SÃO FIDÉLIS,4962
RIO BONITO,4514
PARAÍBA DO SUL,4168
GUAPIMIRIM,3946
IGUABA GRANDE,3918
MIRACEMA,3866
VASSOURAS,3761
ARMAÇÃO DOS BÚZIOS,3687
PARATY,3670
CASIMIRO DE ABREU,3582
MIGUEL PEREIRA,3534
PATY DO ALFERES,3483
BOM JESUS DO ITABAPOANA,3423
PORTO REAL,3408
CORDEIRO,3283
SANTO ANTÔNIO DE PÁDUA,3278
QUISSAMÃ,2950
ITAOCARA,2895
PINHEIRAL,2686
MENDES,2612
BOM JARDIM,2527
TANGUÁ,2511
ITALVA,2454
CAMBUCI,2309
CONCEIÇÃO DE MACABU,2245
SILVA JARDIM,2229
NATIVIDADE,2222
PIRAÍ,2212
CARAPEBUS,2134
CANTAGALO,2025
PORCIÚNCULA,2016
CARDOSO MOREIRA,2003
QUATIS,1893
SÃO JOSÉ DO VALE DO RIO PRETO,1883
SÃO JOSÉ DE UBÁ,1856
LAJE DO MURIAÉ,1767
AREAL,1731
TRAJANO DE MORAES,1731
ENGENHEIRO PAULO DE FRONTIN,1697
CARMO,1647
APERIBÉ,1564
SAPUCAIA,1550
RIO CLARO,1533
COMENDADOR LEVY GASPARIAN,1411
VARRE-SAI,1325
SANTA MARIA MADALENA,1318
RIO DAS FLORES,1315
DUAS BARRAS,1282
SUMIDOURO,1240
MACUCO,1179
SÃO SEBASTIÃO DO ALTO,1096
