Partido,Quantitativo,Percentual
PDT,144797,14.44
MDB,115239,11.49
PT,112720,11.24
PSDB,77091,7.69
PL,63156,6.3
PRD,60756,6.06
PODE,52606,5.25
PP,51130,5.1
PSB,38074,3.8
UNIÃO,37934,3.78
PCDOB,26724,2.66
REPUBLICANOS,24674,2.46
PSOL,24442,2.44
AVANTE,22914,2.28
CIDADANIA,20543,2.05
PV,19560,1.95
MOBILIZA,18714,1.87
SOLIDARIEDADE,18591,1.85
AGIR,15022,1.5
DC,14946,1.49
PSD,10156,1.01
PRTB,9829,0.98
DEMOCRATA,7149,0.71
NOVO,5905,0.59
REDE,3362,0.34
UP,1908,0.19
MISSÃO,1571,0.16
PSTU,1478,0.15
PCB,1098,0.11
PCO,680,0.07
PSC,66,0.01
