UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
MG,832514/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,252.85,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.3941,-43.7151
MG,832458/2024,3D MINERALS LTDA,MANGANÊS,AUTORIZAÇÃO DE PESQUISA,70.52,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-19.8343,-42.9159
MG,832620/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,421.06,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-19.7733,-43.2176
MG,832638/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,123.7,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.4448,-43.5196
MG,832459/2024,3D MINERALS LTDA,FOSFATO,AUTORIZAÇÃO DE PESQUISA,318.58,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-19.3582,-47.9558
MG,832434/2024,3D MINERALS LTDA,CALCÁRIO,REQUERIMENTO DE LAVRA,840.24,2801 - REQ LAV/COMPLEMENTO REQ LAV EDITAL DISP PROTOC EM 26/11/2025,-17.2168,-44.6857
MG,832435/2024,3D MINERALS LTDA,QUARTZO,REQUERIMENTO DE LAVRA,105.75,2801 - REQ LAV/COMPLEMENTO REQ LAV EDITAL DISP PROTOC EM 26/11/2025,-21.1276,-44.196
MG,832412/2024,3D MINERALS LTDA,MINÉRIO DE LÍTIO,AUTORIZAÇÃO DE PESQUISA,1784.6,249 - AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC EM 15/01/2026,-17.2456,-41.878
MG,832606/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,843.96,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-19.8218,-43.3404
MG,832603/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,674.94,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.1681,-43.899
MG,832410/2024,3D MINERALS LTDA,MINÉRIO DE LÍTIO,AUTORIZAÇÃO DE PESQUISA,1487.78,249 - AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC EM 15/01/2026,-17.248,-42.021
MG,832480/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,999.75,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-19.1051,-43.0789
MG,832628/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,384.3,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-18.1391,-46.9537
MG,832476/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1658.34,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-20.7295,-44.4316
MG,832741/2024,3D MINERALS LTDA,BAUXITA,AUTORIZAÇÃO DE PESQUISA,269.74,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-21.4234,-42.9113
MG,832607/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1047.95,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-18.6405,-43.0612
MG,832515/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1302.68,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-18.8781,-43.0735
MG,832604/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,300.59,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.1498,-44.3249
MG,832432/2024,3D MINERALS LTDA,BAUXITA,REQUERIMENTO DE LAVRA,246.4,336 - REQ LAV/DOCUMENTO DIVERSO PROTOC EM 29/01/2026,-21.4156,-42.9323
MG,832742/2024,3D MINERALS LTDA,BAUXITA,AUTORIZAÇÃO DE PESQUISA,422.36,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-21.3872,-42.9208
MG,832743/2024,3D MINERALS LTDA,BAUXITA,AUTORIZAÇÃO DE PESQUISA,115.25,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-21.4412,-42.846
