dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
0.3,WAGNER COLOMBAROLLI,TOPÁZIO,DISPONIBILIDADE,181.04,831081/1980,-20.4213,-43.633
0.5,JOSÉ RIBEIRO PENIDO,TOPÁZIO,REQUERIMENTO DE LAVRA GARIMPEIRA,49.98,830070/1999,-20.4209,-43.6347
0.6,Topazio Imperial Mineração Comercio e Industria Ltda,FERRO,CONCESSÃO DE LAVRA,78.78,291701/1936,-20.4161,-43.626
0.6,Enrico Guarneri Ltda,CALCÁRIO,CONCESSÃO DE LAVRA,30.08,5385/1944,-20.4205,-43.6361
0.7,LUIS CARLOS BATISTA SA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,7.19,833027/2007,-20.4145,-43.6277
0.7,MACARANI MINERACAO S A,CALCÁRIO CALCÍTICO,REQUERIMENTO DE PESQUISA,52.72,830375/2014,-20.4205,-43.6365
0.9,Protasio de Melo Penna,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,1941.71,831743/2012,-20.4118,-43.6302
1.0,ESPOLIO DE SERAFIM DA SILVA GOMES,FERRO,CONCESSÃO DE LAVRA,51.54,2917/1936,-20.4197,-43.6201
1.2,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,AUTORIZAÇÃO DE PESQUISA,24.84,832784/1989,-20.4241,-43.6195
1.3,Protasio de Melo Penna,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,2000.0,830650/2008,-20.4085,-43.6331
1.3,MINERAÇÃO SERRA DO ITATIAIA LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,125.76,803773/1978,-20.424,-43.6181
1.4,LUIS CARLOS BATISTA SA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,20.16,833027/2007,-20.4077,-43.6306
1.6,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,56.73,300689/2023,-20.4133,-43.6159
1.7,EMPRESA DE MINERACAO SIQUEIRA E IRMAOS LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,99.07,830635/1992,-20.4071,-43.638
1.8,LUIS CARLOS BATISTA SA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,91.11,833027/2007,-20.41,-43.6433
1.9,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,349.1,800645/1971,-20.4307,-43.6436
1.9,RICARDO NORBERTO RIBEIRO,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,234.97,830542/2005,-20.4372,-43.6276
1.9,Opps Comércio e Exportação Ltda.,TOPÁZIO,DISPONIBILIDADE,20.52,831307/1980,-20.4092,-43.6445
2.0,TERRATIVA MINERAIS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,59.75,834882/2008,-20.4017,-43.6278
2.1,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,163.48,800214/1978,-20.4232,-43.6104
2.1,RICARDO NORBERTO RIBEIRO,TOPÁZIO,REQUERIMENTO DE LAVRA,77.29,831837/2004,-20.4141,-43.6109
2.2,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,62.78,827501/1972,-20.4129,-43.65
2.2,GERALDO EDUARDO CARDOSO RODRIGUES,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,48.41,830666/2005,-20.4021,-43.6219
2.3,Recursos Minerais do Brasil S.a,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,6.01,830738/2010,-20.4197,-43.6522
2.4,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,4.29,830689/1980,-20.4131,-43.6521
2.6,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,44.37,804805/1976,-20.4159,-43.6544
2.7,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,CONCESSÃO DE LAVRA,22.77,830687/1980,-20.4185,-43.6555
2.7,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,DISPONIBILIDADE,21.19,831270/2008,-20.4012,-43.647
2.9,"Brasroma Mineração, Comércio e Indústria Ltda",DOLOMITO,DISPONIBILIDADE,29.49,836643/1994,-20.3937,-43.6299
3.0,ESPOLIO DE SERAFIM DA SILVA GOMES,TOPÁZIO,CONCESSÃO DE LAVRA,63.73,2916/1936,-20.4281,-43.6573
3.0,Bohrer Comercio Mineraçao Ltda,TOPÁZIO,REQUERIMENTO DE LAVRA,164.9,803185/1977,-20.3959,-43.6178
3.0,MINERAÇÃO CARRILHO LTDA,MANGANÊS,CONCESSÃO DE LAVRA,168.0,805642/1971,-20.4289,-43.6025
