competencia,arquivo,cnpj_declarante,declarante,tp_aplic,cnpj_cota,nome_cota,ds_ativo,emissor,valor,pct_pl
202409,cda_fi_BLC_1_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Títulos Públicos,,,,,3096396.65,
202409,cda_fi_BLC_1_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Títulos Públicos,,,,,713219.29,
202409,cda_fi_BLC_1_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Títulos Públicos,,,,,292155.41,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,23.964.843/0001-03,,,,238281.88,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,49.089.398/0001-73,,,,577351.36,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,26.154.177/0001-36,,,,40808.12,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,43.616.501/0001-00,,,,142000.00,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,49.628.680/0001-81,,,,350567.05,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,23.956.882/0001-69,,,,69766.84,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,42.462.120/0001-50,,,,300704.51,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,43.616.756/0001-72,,,,150000.00,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,46.439.664/0001-52,,,,3566265.03,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,08.915.927/0001-63,,,,4250107.08,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,22.150.568/0001-21,,,,212947.78,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,34.617.263/0001-66,,,,1674689.67,
202409,cda_fi_BLC_2_202409.csv,13.596.279/0001-60,VICTORIA FALLS FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,Cotas de Fundos,30.910.553/0001-42,,,,1114796.28,
