PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon,dist_km_rodrigo_silva
832514/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,252.85,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.3941,-43.7151,9.3
831627/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,28.65,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.3946,-43.7157,9.3
831635/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,29.45,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 28/10/2025,-20.4469,-43.5209,11.7
832638/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,123.7,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.4448,-43.5196,11.8
832603/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,674.94,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.1681,-43.899,39.6
831633/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,3.81,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 28/10/2025,-19.8434,-43.3467,70.5
831633/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,134.21,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 28/10/2025,-19.8241,-43.3429,72.6
832606/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,843.96,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-19.8218,-43.3404,72.9
831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.04,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.144,-44.3116,77.2
831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.08,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.1432,-44.3141,77.5
832604/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,300.59,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.1498,-44.3249,78.2
831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,25.94,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.1483,-44.3247,78.3
832620/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,421.06,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-19.7733,-43.2176,83.6
831629/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,168.39,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-19.7696,-43.2224,83.7
832436/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,26.17,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-20.1569,-44.4403,89.2
832476/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1658.34,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-20.7295,-44.4316,90.2
