PROCESSO,NUMERO,ANO,AREA_HA,ID,FASE,ULT_EVENTO,NOME,SUBS,USO,UF,DSProcesso,lon,lat
291701/1936,291701,1936,78.78,{5267E097-AD73-454B-AE8A-65B1EAF940B3},CONCESSÃO DE LAVRA,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,Topazio Imperial Mineração Comercio e Industria Ltda,FERRO,Demais substâncias,MG,291.701/1936,-43.626,-20.4161
827501/1972,827501,1972,62.78,{97432300-970F-4190-B3B3-971FA8615649},CONCESSÃO DE LAVRA,473 - CONC LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 26/10/2020,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,Demais substâncias,MG,827.501/1972,-43.65,-20.4129
804805/1976,804805,1976,44.37,{3B6EFE45-EF6F-4F72-9F7F-F2FFEE82F280},CONCESSÃO DE LAVRA,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,Demais substâncias,MG,804.805/1976,-43.6544,-20.4159
830060/1986,830060,1986,49.98,{5C314C1F-764C-4086-8D93-029216921BA4},CONCESSÃO DE LAVRA,477 - CONC LAV/RECURSO PROTOC EM 25/04/2022,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,Demais substâncias,MG,830.060/1986,-43.1106,-19.6395
832783/1989,832783,1989,14.32,{654EAA34-8A2F-4CDC-B861-3A3FDF299FA6},AUTORIZAÇÃO DE PESQUISA,251 - AUT PESQ/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC EM 09/10/2017,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO IMPERIAL,Ourivesaria,MG,832.783/1989,-43.6538,-20.4348
800645/1971,800645,1971,349.1,{2C7A34FE-47CB-44B5-8C24-9C8259963A7B},CONCESSÃO DE LAVRA,473 - CONC LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 04/05/2009,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,Demais substâncias,MG,800.645/1971,-43.6436,-20.4307
830689/1980,830689,1980,4.29,{197492AE-F6F2-4387-8945-2A2EA4405453},CONCESSÃO DE LAVRA,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,Demais substâncias,MG,830.689/1980,-43.6521,-20.4131
832784/1989,832784,1989,24.84,{A7BFA2F3-B3B2-4F07-A955-8ADC938A9C40},AUTORIZAÇÃO DE PESQUISA,236 - AUT PESQ/DOCUMENTO DIVERSO PROTOC EM 19/10/2004,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,Demais substâncias,MG,832.784/1989,-43.6195,-20.4241
830687/1980,830687,1980,22.77,{7BF4862F-1BE4-4B89-8784-3169A49A1532},CONCESSÃO DE LAVRA,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,Demais substâncias,MG,830.687/1980,-43.6555,-20.4185
800214/1978,800214,1978,163.48,{52A937A0-8DAD-4662-B23C-4A267A03F88D},CONCESSÃO DE LAVRA,1974 - SUSPENSÃO DE ANÁLISE - CONFLITO PROJ ENERGÉTICO PUBL EM 08/07/2013,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,Demais substâncias,MG,800.214/1978,-43.6104,-20.4232
